iter	RMSE
0	0.4235692685
1	0.4118201051
2	0.3999291182
3	0.3882760263
4	0.3769581139
5	0.3670858879
6	0.3570819718
7	0.3480160092
8	0.3398964166
9	0.3320353316
10	0.3247437955
11	0.3170698897
12	0.3097749746
13	0.3027983131
14	0.2954116821
15	0.2885307548
16	0.2825574401
17	0.2760924667
18	0.2705071609
19	0.265517834
20	0.2603254739
21	0.2555636572
22	0.2509440664
23	0.2468219101
24	0.2424058145
25	0.2382214925
26	0.2342534074
27	0.2306617572
28	0.2269747537
29	0.2233320871
30	0.2199689664
31	0.2168530405
32	0.2136400203
33	0.2106478446
34	0.2079569114
35	0.2053161366
36	0.2026566091
37	0.2002133748
38	0.1980927911
39	0.1957865026
40	0.1938702205
41	0.1918646734
42	0.1899040961
43	0.187830925
44	0.1860929427
45	0.1844179859
46	0.1826337234
47	0.1811493484
48	0.179581513
49	0.1781803403
50	0.1766369315
51	0.1753913706
52	0.1739303212
53	0.1728045511
54	0.1714675153
55	0.1701123918
56	0.1690407668
57	0.1680302414
58	0.1668599337
59	0.1658157116
60	0.1650337662
61	0.164098101
62	0.1632248384
63	0.1622246281
64	0.1613988224
65	0.1604766526
66	0.1596977515
67	0.1588155837
68	0.1581748523
69	0.1575127369
70	0.1568563501
71	0.1560947381
72	0.1554901652
73	0.1548447818
74	0.1545687355
75	0.1539386181
76	0.1534052005
77	0.1528726301
78	0.1523871913
79	0.151896906
80	0.1512939581
81	0.1507451883
82	0.1503021651
83	0.1497423728
84	0.1492930994
85	0.1487846078
86	0.1484495372
87	0.1479628665
88	0.1475405648
89	0.1471451242
90	0.1467549817
91	0.1464015662
92	0.1459715242
93	0.1455739691
94	0.1452966947
95	0.1450708498
96	0.1447488796
97	0.1442837629
98	0.1439248002
99	0.1435427832
100	0.1431758459
101	0.1429404662
102	0.1426755621
103	0.1423391797
104	0.1421868749
105	0.1418994624
106	0.1414883903
107	0.1413120657
108	0.1411164439
109	0.14083213
110	0.140468949
111	0.1401968771
112	0.1398826035
113	0.1396147967
114	0.139449675
115	0.1391725572
116	0.1389404516
117	0.1386930565
118	0.1384174513
119	0.1381821057
120	0.1379261848
121	0.1377975505
122	0.1375923208
123	0.1374870428
124	0.1372608762
125	0.1369769723
126	0.1368454692
127	0.1365604543
128	0.1362852213
129	0.1360543554
130	0.1358332412
131	0.1356317139
132	0.1353925679
133	0.135126837
134	0.1348879634
135	0.1346191977
136	0.1344325964
137	0.1341652718
138	0.1339703692
139	0.1337597128
140	0.1336130597
141	0.1333452169
142	0.133238962
143	0.1331340694
144	0.132892146
145	0.132751761
146	0.1326089618
147	0.1324701998
148	0.1322255067
149	0.1320090189
150	0.1317192286
151	0.1315643988
152	0.1314458424
153	0.131238779
154	0.131065818
155	0.1309048126
156	0.1307335242
157	0.130570606
158	0.1303313778
159	0.1301724788
160	0.1300293039
161	0.1299402171
162	0.1297799966
163	0.1295740154
164	0.1293946334
165	0.1292768155
166	0.1291762339
167	0.129014037
168	0.128880526
169	0.1287044816
170	0.1286260668
171	0.1283747169
172	0.128230038
173	0.1280539875
174	0.1279025956
175	0.1278431917
176	0.1277093035
177	0.1275801449
178	0.1273886803
179	0.1272541821
180	0.1270767316
181	0.1269573405
182	0.1267730556
183	0.1266368395
184	0.1265288644
185	0.126328206
186	0.1261461371
187	0.1259983495
188	0.1257756379
189	0.1255912429
190	0.1255144982
191	0.125357119
192	0.1252779811
193	0.1252252444
194	0.1250983637
195	0.1248603686
196	0.1246337579
197	0.1244560663
198	0.1243341757
199	0.1242030793
200	0.1240457643
201	0.1239181107
202	0.1238323964
203	0.1236377001
204	0.1235335223
205	0.1233872343
206	0.1232399966
207	0.123045664
208	0.1229400112
209	0.1228433539
210	0.122740647
211	0.1226326633
212	0.1225633404
213	0.1224626604
214	0.1222315907
215	0.1220253088
216	0.1219255556
217	0.1218131773
218	0.1215760278
219	0.1214245412
220	0.1212968176
221	0.1210128343
222	0.12086855
223	0.1207139912
224	0.1206153124
225	0.1204619998
226	0.1204110009
227	0.1202970666
228	0.120225815
229	0.120169201
230	0.1200501997
231	0.1199847016
232	0.1198651517
233	0.1196987104
234	0.1196120428
235	0.1194972804
236	0.1192841429
237	0.1191468292
238	0.1190461468
239	0.118922683
240	0.118787878
241	0.1187077455
242	0.1186314472
243	0.1184518391
244	0.1183360986
245	0.1182279079
246	0.1180587237
247	0.1179203133
248	0.1177684839
249	0.1176420436
250	0.1175181507
251	0.1173989129
252	0.1172514935
253	0.1172037177
254	0.1170111745
255	0.1168479551
256	0.1167196407
257	0.1166735521
258	0.1165496707
259	0.1165011849
260	0.1163968642
261	0.1162969091
262	0.1161951051
263	0.1161113042
264	0.1159899332
265	0.1157849653
266	0.1156431663
267	0.115572085
268	0.1154351176
269	0.1153110939
270	0.1152744355
271	0.1151979352
272	0.1150708465
273	0.1149191892
274	0.1148149221
275	0.114717152
276	0.1146896603
277	0.1145734341
278	0.1144316659
279	0.1142528307
280	0.1141619829
281	0.1140601445
282	0.1139476455
283	0.1137626094
284	0.1136359021
285	0.1135262521
286	0.1134383682
287	0.1133172853
288	0.1131975873
289	0.1131014668
290	0.1129874522
291	0.1127736511
292	0.112666495
293	0.1125495587
294	0.1124250009
295	0.1122217394
296	0.1121306138
297	0.1119979869
298	0.1118817226
299	0.1117910363
300	0.1116464719
301	0.1114522392
302	0.1114203549
303	0.1113191573
304	0.1112170582
305	0.1110937826
306	0.1109749285
307	0.110844706
308	0.1107035083
309	0.1106465098
310	0.1105106109
311	0.1103942886
312	0.1102983211
313	0.1101882676
314	0.1101352811
315	0.1100444481
316	0.1099413689
317	0.1098071249
318	0.1096767143
319	0.1095849077
320	0.1094930283
321	0.1093767679
322	0.1092499175
323	0.1091268083
324	0.1090482066
325	0.1088648595
326	0.1088225219
327	0.1087145446
328	0.1086554851
329	0.1085972533
330	0.1085049695
331	0.1084286976
332	0.1083212129
333	0.1082149425
334	0.1081386701
335	0.1080413653
336	0.107892189
337	0.1077552732
338	0.107563903
339	0.1074248181
340	0.1073508831
341	0.1072627004
342	0.1071823191
343	0.1070777017
344	0.1069874157
345	0.106939864
346	0.1068638764
347	0.1068037704
348	0.1067107136
349	0.1066153858
350	0.1064947968
351	0.1064095203
352	0.1063213903
353	0.1062768895
354	0.1061824885
355	0.1060850964
356	0.1059955861
357	0.1059642441
358	0.105878361
359	0.1057361914
360	0.1056527926
361	0.1055707726
362	0.1055361565
363	0.1054447605
364	0.1053498416
365	0.1052860022
366	0.1051710777
367	0.1050496693
368	0.1049681253
369	0.1048803361
370	0.1047551515
371	0.1046116489
372	0.1045329316
373	0.104382781
374	0.1043271722
375	0.1042708621
376	0.1041824355
377	0.1041525798
378	0.1040371648
379	0.1039877462
380	0.1038969693
381	0.1037981803
382	0.1037451367
383	0.1036031632
384	0.1035074202
385	0.103420312
386	0.1033376443
387	0.1032916816
388	0.1032328146
389	0.1031531817
390	0.103059789
391	0.1030143705
392	0.1029071069
393	0.1028520433
394	0.102775723
395	0.1025902264
396	0.1024555792
397	0.1023578843
398	0.1022542145
399	0.1021026111
400	0.1020436214
401	0.1019858965
402	0.1018937016
403	0.1018011681
404	0.101761399
