iter	Passed	Remaining
0	38	46610
1	77	46306
2	177	70784
3	230	68868
4	273	65283
5	314	62541
6	359	61225
7	400	59614
8	444	58885
9	485	57790
10	527	57014
11	568	56328
12	612	55946
13	654	55436
14	701	55416
15	743	55019
16	786	54756
17	827	54308
18	886	55103
19	927	54749
20	976	54821
21	1023	54807
22	1050	53734
23	1100	53929
24	1146	53902
25	1196	54029
26	1238	53792
27	1281	53647
28	1323	53448
29	1368	53354
30	1408	53111
31	1452	53030
32	1494	52833
33	1542	52885
34	1584	52733
35	1634	52834
36	1679	52803
37	1727	52828
38	1770	52719
39	1812	52570
40	1856	52493
41	1899	52381
42	1942	52279
43	1987	52217
44	2026	52017
45	2072	51993
46	2114	51884
47	2160	51858
48	2203	51767
49	2252	51811
50	2301	51848
51	2348	51841
52	2391	51749
53	2435	51696
54	2482	51671
55	2529	51675
56	2575	51647
57	2624	51676
58	2674	51717
59	2726	51802
60	2773	51789
61	2829	51933
62	2872	51836
63	2917	51786
64	2961	51709
65	3007	51670
66	3048	51551
67	3095	51539
68	3141	51490
69	3185	51422
70	3227	51324
71	3272	51267
72	3314	51164
73	3359	51123
74	3373	50603
75	3419	50573
76	3515	51274
77	3618	52053
78	3688	52346
79	3798	53181
80	3843	53095
81	3888	53016
82	3931	52911
83	3979	52875
84	4021	52757
85	4066	52675
86	4109	52579
87	4155	52510
88	4198	52410
89	4244	52349
90	4287	52247
91	4331	52163
92	4376	52090
93	4422	52035
94	4465	51942
95	4510	51869
96	4553	51779
97	4598	51707
98	4644	51649
99	4686	51548
100	4731	51486
101	4774	51399
102	4819	51326
103	4861	51232
104	4892	51023
105	4938	50972
106	4980	50876
107	5088	51446
108	5175	51802
109	5216	51692
110	5260	51609
111	5305	51541
112	5350	51470
113	5391	51360
114	5438	51310
115	5481	51225
116	5526	51154
117	5572	51096
118	5616	51024
119	5659	50931
120	5704	50868
121	5747	50783
122	5793	50727
123	5835	50637
124	5880	50568
125	5923	50493
126	5969	50435
127	6013	50359
128	6057	50293
129	6096	50181
130	6142	50127
131	6184	50037
132	6227	49958
133	6266	49850
134	6311	49787
135	6355	49719
136	6399	49652
137	6440	49566
138	6482	49483
139	6528	49431
140	6575	49387
141	6616	49294
142	6658	49215
143	6701	49146
144	6743	49065
145	6786	48995
146	6829	48922
147	6873	48855
148	6916	48785
149	6958	48708
150	7056	49021
151	7111	49030
152	7153	48951
153	7199	48902
154	7250	48881
155	7299	48849
156	7346	48805
157	7397	48783
158	7443	48736
159	7491	48694
160	7539	48655
161	7588	48623
162	7631	48550
163	7676	48491
164	7718	48418
165	7764	48362
166	7807	48294
167	7854	48247
168	7895	48165
169	7941	48117
170	7982	48036
171	8027	47978
172	8072	47921
173	8117	47865
174	8158	47783
175	8205	47738
176	8252	47695
177	8297	47639
178	8346	47608
179	8389	47542
180	8439	47515
181	8483	47450
182	8531	47410
183	8576	47357
184	8621	47302
185	8667	47251
186	8710	47186
187	8757	47142
188	8802	47087
189	8847	47034
190	8890	46968
191	8936	46917
192	8978	46846
193	9025	46801
194	9070	46750
195	9112	46678
196	9157	46624
197	9201	46562
198	9247	46513
199	9289	46449
200	9335	46401
201	9378	46333
202	9419	46264
203	9468	46227
204	9514	46178
205	9560	46132
206	9603	46068
207	9648	46014
208	9690	45950
209	9734	45892
210	9778	45833
211	9825	45789
212	9868	45726
213	9916	45689
214	9968	45669
215	10070	45876
216	10125	45869
217	10173	45828
218	10214	45754
219	10261	45709
220	10302	45640
221	10347	45586
222	10388	45514
223	10432	45456
224	10475	45392
225	10522	45349
226	10566	45290
227	10607	45221
228	10648	45152
229	10694	45101
230	10737	45041
